filename,ID,startday,calendar_date,Nvaliddays,Nvaliddays_WD,Nvaliddays_WE,Ndaysleeper,Ncleaningcodezero,Ncleaningcode1,Ncleaningcode2,Ncleaningcode3,Ncleaningcode4,Ncleaningcode5,Ncleaningcode6,Nsleeplog_used,Nacc_available,start_end_window,sleeponset_pla,wakeup_pla,nonwear_perc_day_pla,nonwear_perc_spt_pla,nonwear_perc_day_spt_pla,dur_spt_sleep_min_pla,dur_spt_wake_IN_min_pla,dur_spt_wake_LIG_min_pla,dur_spt_wake_MOD_min_pla,dur_spt_wake_VIG_min_pla,dur_day_IN_unbt_min_pla,dur_day_LIG_unbt_min_pla,dur_day_MOD_unbt_min_pla,dur_day_VIG_unbt_min_pla,dur_day_MVPA_bts_10_min_pla,dur_day_MVPA_bts_5_10_min_pla,dur_day_MVPA_bts_1_5_min_pla,dur_day_IN_bts_30_min_pla,dur_day_IN_bts_20_30_min_pla,dur_day_IN_bts_10_20_min_pla,dur_day_LIG_bts_10_min_pla,dur_day_LIG_bts_5_10_min_pla,dur_day_LIG_bts_1_5_min_pla,dur_day_total_IN_min_pla,dur_day_total_LIG_min_pla,dur_day_total_MOD_min_pla,dur_day_total_VIG_min_pla,dur_day_min_pla,dur_spt_min_pla,dur_day_spt_min_pla,N_atleast5minwakenight_pla,sleep_efficiency_after_onset_pla,tail_expansion_minutes_pla,ACC_spt_sleep_mg_pla,ACC_spt_wake_IN_mg_pla,ACC_spt_wake_LIG_mg_pla,ACC_spt_wake_MOD_mg_pla,ACC_spt_wake_VIG_mg_pla,ACC_day_IN_unbt_mg_pla,ACC_day_LIG_unbt_mg_pla,ACC_day_MOD_unbt_mg_pla,ACC_day_VIG_unbt_mg_pla,ACC_day_MVPA_bts_10_mg_pla,ACC_day_MVPA_bts_5_10_mg_pla,ACC_day_MVPA_bts_1_5_mg_pla,ACC_day_IN_bts_30_mg_pla,ACC_day_IN_bts_20_30_mg_pla,ACC_day_IN_bts_10_20_mg_pla,ACC_day_LIG_bts_10_mg_pla,ACC_day_LIG_bts_5_10_mg_pla,ACC_day_LIG_bts_1_5_mg_pla,ACC_day_total_IN_mg_pla,ACC_day_total_LIG_mg_pla,ACC_day_total_MOD_mg_pla,ACC_day_total_VIG_mg_pla,ACC_day_mg_pla,ACC_spt_mg_pla,ACC_spt_mg_median_pla,ACC_spt_mg_stdev_pla,ACC_day_spt_mg_pla,quantile_mostactive60min_mg_pla,quantile_mostactive30min_mg_pla,Nbouts_day_MVPA_bts_10_pla,Nbouts_day_MVPA_bts_5_10_pla,Nbouts_day_MVPA_bts_1_5_pla,Nbouts_day_IN_bts_30_pla,Nbouts_day_IN_bts_20_30_pla,Nbouts_day_IN_bts_10_20_pla,Nbouts_day_LIG_bts_10_pla,Nbouts_day_LIG_bts_5_10_pla,Nbouts_day_LIG_bts_1_5_pla,Nblocks_spt_sleep_pla,Nblocks_spt_wake_IN_pla,Nblocks_spt_wake_LIG_pla,Nblocks_spt_wake_MOD_pla,Nblocks_spt_wake_VIG_pla,Nblocks_day_IN_unbt_pla,Nblocks_day_LIG_unbt_pla,Nblocks_day_MOD_unbt_pla,Nblocks_day_VIG_unbt_pla,Nblocks_day_MVPA_bts_10_pla,Nblocks_day_MVPA_bts_5_10_pla,Nblocks_day_MVPA_bts_1_5_pla,Nblocks_day_IN_bts_30_pla,Nblocks_day_IN_bts_20_30_pla,Nblocks_day_IN_bts_10_20_pla,Nblocks_day_LIG_bts_10_pla,Nblocks_day_LIG_bts_5_10_pla,Nblocks_day_LIG_bts_1_5_pla,Nblocks_day_total_IN_pla,Nblocks_day_total_LIG_pla,Nblocks_day_total_MOD_pla,Nblocks_day_total_VIG_pla,boutcriter.in,boutcriter.lig,boutcriter.mvpa,boutdur.in,boutdur.lig,boutdur.mvpa,GGIRversion,lastHour_pla,lastDate,sleeponset_wei,wakeup_wei,nonwear_perc_day_wei,nonwear_perc_spt_wei,nonwear_perc_day_spt_wei,dur_spt_sleep_min_wei,dur_spt_wake_IN_min_wei,dur_spt_wake_LIG_min_wei,dur_spt_wake_MOD_min_wei,dur_spt_wake_VIG_min_wei,dur_day_IN_unbt_min_wei,dur_day_LIG_unbt_min_wei,dur_day_MOD_unbt_min_wei,dur_day_VIG_unbt_min_wei,dur_day_MVPA_bts_10_min_wei,dur_day_MVPA_bts_5_10_min_wei,dur_day_MVPA_bts_1_5_min_wei,dur_day_IN_bts_30_min_wei,dur_day_IN_bts_20_30_min_wei,dur_day_IN_bts_10_20_min_wei,dur_day_LIG_bts_10_min_wei,dur_day_LIG_bts_5_10_min_wei,dur_day_LIG_bts_1_5_min_wei,dur_day_total_IN_min_wei,dur_day_total_LIG_min_wei,dur_day_total_MOD_min_wei,dur_day_total_VIG_min_wei,dur_day_min_wei,dur_spt_min_wei,dur_day_spt_min_wei,N_atleast5minwakenight_wei,sleep_efficiency_after_onset_wei,tail_expansion_minutes_wei,ACC_spt_sleep_mg_wei,ACC_spt_wake_IN_mg_wei,ACC_spt_wake_LIG_mg_wei,ACC_spt_wake_MOD_mg_wei,ACC_spt_wake_VIG_mg_wei,ACC_day_IN_unbt_mg_wei,ACC_day_LIG_unbt_mg_wei,ACC_day_MOD_unbt_mg_wei,ACC_day_VIG_unbt_mg_wei,ACC_day_MVPA_bts_10_mg_wei,ACC_day_MVPA_bts_5_10_mg_wei,ACC_day_MVPA_bts_1_5_mg_wei,ACC_day_IN_bts_30_mg_wei,ACC_day_IN_bts_20_30_mg_wei,ACC_day_IN_bts_10_20_mg_wei,ACC_day_LIG_bts_10_mg_wei,ACC_day_LIG_bts_5_10_mg_wei,ACC_day_LIG_bts_1_5_mg_wei,ACC_day_total_IN_mg_wei,ACC_day_total_LIG_mg_wei,ACC_day_total_MOD_mg_wei,ACC_day_total_VIG_mg_wei,ACC_day_mg_wei,ACC_spt_mg_wei,ACC_spt_mg_median_wei,ACC_spt_mg_stdev_wei,ACC_day_spt_mg_wei,quantile_mostactive60min_mg_wei,quantile_mostactive30min_mg_wei,Nbouts_day_MVPA_bts_10_wei,Nbouts_day_MVPA_bts_5_10_wei,Nbouts_day_MVPA_bts_1_5_wei,Nbouts_day_IN_bts_30_wei,Nbouts_day_IN_bts_20_30_wei,Nbouts_day_IN_bts_10_20_wei,Nbouts_day_LIG_bts_10_wei,Nbouts_day_LIG_bts_5_10_wei,Nbouts_day_LIG_bts_1_5_wei,Nblocks_spt_sleep_wei,Nblocks_spt_wake_IN_wei,Nblocks_spt_wake_LIG_wei,Nblocks_spt_wake_MOD_wei,Nblocks_spt_wake_VIG_wei,Nblocks_day_IN_unbt_wei,Nblocks_day_LIG_unbt_wei,Nblocks_day_MOD_unbt_wei,Nblocks_day_VIG_unbt_wei,Nblocks_day_MVPA_bts_10_wei,Nblocks_day_MVPA_bts_5_10_wei,Nblocks_day_MVPA_bts_1_5_wei,Nblocks_day_IN_bts_30_wei,Nblocks_day_IN_bts_20_30_wei,Nblocks_day_IN_bts_10_20_wei,Nblocks_day_LIG_bts_10_wei,Nblocks_day_LIG_bts_5_10_wei,Nblocks_day_LIG_bts_1_5_wei,Nblocks_day_total_IN_wei,Nblocks_day_total_LIG_wei,Nblocks_day_total_MOD_wei,Nblocks_day_total_VIG_wei,lastHour_wei
J001_1.gt3x,J001_1.gt3x,Friday,2025-03-28,6,4,2,0,0,0,6,0,0,0,0,0,6,08:03:20-08:17:50,17.876,32.055,0,94.009,55.748,848.056,1.361,1.097,0.167,0.056,92.625,38.319,11.778,0.083,0,1.472,8,305.792,23.75,32.556,35.083,10.361,23.806,437.681,119.611,26.083,0.25,583.625,850.736,1434.361,0,0.997,0,0.586,4.828,32.3,107.912,274.433,5.209,30.844,113.043,293.525,,102.546,134.834,4.755,8.225,7.069,26.977,25.657,29.979,3.319,29.997,113.474,313.95,13.354,0.674,0,4.443,6.005,32.519,62.771,0,0.5,6,4.833,1,2.5,1.667,1.667,19.5,2.167,3.5,4,1.167,0.5,197.833,226,65,0.833,0,0.5,6,4.833,1,2.5,1.667,1.667,19.5,349,421.833,122.5,2.333,0.9,0.8,0.8,30_20_10,10_5_1,10_5_1,3.3.4,13,2025-04-03,17.866,32.04,0,94.101,55.681,847.69,1.414,1.119,0.17,0.057,94.378,39.277,12.074,0.077,0,1.577,8.467,304.655,24.56,32.61,34.176,9.503,23.97,438.961,119.336,26.783,0.244,585.324,850.449,1435.774,0,0.997,0,0.625,4.965,33.167,107.315,272.664,5.217,30.839,113.219,272.879,,102.546,136.639,4.755,8.235,7.073,25.075,25.487,29.614,3.322,29.915,114.352,312.253,13.487,0.713,0,4.553,6.091,32.998,63.762,0,0.536,6.357,4.857,1.036,2.5,1.607,1.5,19.75,2.179,3.464,4,1.179,0.5,201.929,231.679,66.536,0.786,0,0.536,6.357,4.857,1.036,2.5,1.607,1.5,19.75,352.643,426.107,123.464,2.25,13
J001_2.gt3x,J001_2.gt3x,Monday,2025-04-28,6,5,1,0,0,0,6,0,0,0,0,0,6,06:48:50-05:29:55,17.035,31.482,0,87.685,52.073,842.431,15.194,7.722,1.444,0.028,91,39.944,14.514,0.181,0,0,9.736,320.097,48.153,29.403,3.944,5.833,22.222,465.778,89.875,29.069,0.306,585.028,866.819,1451.847,0,0.973,0,1.674,4.644,31.451,107.888,270.45,5.66,31.799,114.067,296.227,,,132.196,5.211,7.863,7.627,21.897,29.495,28.541,3.46,30.52,118.084,304.511,13.726,2.151,0,6.844,6.725,35.703,70.336,0,0,7.833,6,2.167,2.333,0.333,1.333,17.833,4.167,27.833,32.167,10.5,0.333,189.167,237.167,80.167,2,0,0,7.833,6,2.167,2.333,0.333,1.333,17.833,350.667,439,143,3.333,0.9,0.8,0.8,30_20_10,10_5_1,10_5_1,3.3.4,7,2025-05-04,17.244,31.556,0,89.444,53.278,835.19,14.857,7.25,1.357,0.036,90.25,40.893,14.595,0.167,0,0,9.631,309.012,55.44,27.512,3.381,5,21.083,458.917,88.774,29,0.274,576.964,858.69,1435.655,0,0.974,0,1.542,4.504,31.847,108.059,258.643,5.726,31.641,113.689,309.237,,,128.432,5.195,7.989,7.82,21.897,29.495,29.061,3.52,30.565,117.051,316.338,13.753,2.003,0,6.79,6.646,35.288,70.032,0,0,8,5.857,2.429,2.286,0.286,1.143,17,4.429,27.286,31.143,10.143,0.429,191,240.857,80.143,1.857,0,0,8,5.857,2.429,2.286,0.286,1.143,17,351.714,440.714,142.286,3,7
J001_3.gt3x,J001_3.gt3x,Monday,2025-05-26,8,6,2,0,0,0,8,0,0,0,0,0,8,07:59:30-06:44:55,15.789,31.581,0,93.644,59.946,774.677,161.094,10.271,1.354,0.125,103.021,42.812,12.958,0.125,0,0,8.583,219.24,36.562,28.635,40.875,2.469,25.375,372.042,122.667,25.688,0.26,520.656,947.521,1468.177,0.25,0.863,0,1.279,5.684,30.595,105.832,291.423,5.935,30.788,112.91,262.567,,,138.924,5.726,7.679,7.426,29.871,30.13,31.265,4.113,30.543,118.741,258.566,16.124,1.595,0,6.294,6.773,34.578,65.753,0,0,7,4.5,1.5,2.375,1.375,0.625,21.375,2.75,15.25,20,6.625,0.75,218.125,255.125,71.125,1.25,0,0,6.875,4.5,1.5,2.375,1.375,0.625,21.375,346.75,426.875,120,2.375,0.9,0.8,0.8,30_20_10,10_5_1,10_5_1,3.3.4,11,2025-06-03,15.738,31.527,0,93.726,60.013,781.167,154.069,10.667,1.343,0.123,100.405,41.958,12.923,0.127,0,0,8.518,224.071,36.976,28.694,39.726,2.496,24.859,374.484,120.393,25.619,0.258,520.754,947.369,1468.123,0.286,0.868,0,1.279,5.684,30.409,106.934,279.507,5.914,30.865,112.66,261.34,,,138.924,5.709,7.679,7.356,29.915,29.62,31.538,4.082,30.654,118.503,258.566,15.968,1.707,0,6.495,6.79,34.536,65.649,0,0,6.952,4.619,1.524,2.357,1.333,0.619,20.976,2.857,15.524,20.405,6.714,0.762,212.857,250.238,70.833,1.286,0,0,6.833,4.619,1.524,2.357,1.333,0.619,20.976,341.119,421.024,119.833,2.381,11
J002_1.gt3x,J002_1.gt3x,Saturday,2025-04-05,6,4,2,0,0,1,5,0,0,0,0,0,6,09:36:00-06:44:55,20.507,31.042,0,96.438,43.232,623.5,6.097,2.153,0.333,0,46.653,20.25,3.361,0.014,49.069,4.389,2.097,602.528,15.375,15.042,4.361,1.028,7.75,645.431,66.208,60.194,0.083,771.917,632.083,1404,0,0.987,0,0.04,4.356,30.903,100.163,,4.436,32.695,94.725,249.4,124.723,104.169,133.194,3.819,5.021,5.758,30.468,25.992,35.356,2.09,31.184,123.294,263.35,14.285,0.227,0,2.908,8.1,80.801,112.435,1.833,0.667,1,6.833,0.667,1.667,0.333,0.167,5.333,1.833,12.833,13.5,2.667,0,102,122.167,21.333,0.167,1.833,0.667,1,6.833,0.667,1.667,0.333,0.167,5.333,349.167,382.667,56.833,0.833,0.9,0.8,0.8,30_20_10,10_5_1,10_5_1,3.3.4,10,2025-04-11,20.409,31.027,0,96.537,43.576,628.342,6.19,2.164,0.342,0,47.446,20.658,3.503,0.012,46.818,4.702,2.024,598.411,15.604,16.116,3.738,1.101,8.22,643.137,66.702,58.435,0.08,768.354,637.039,1405.393,0,0.987,0,0.041,4.29,30.916,99.818,,4.397,32.735,94.852,249.4,124.203,104.169,133.56,3.847,5.171,5.758,30.468,25.992,34.883,2.084,31.232,122.623,264.354,14.044,0.227,0,2.899,7.923,77.487,110.577,1.821,0.714,0.964,7,0.679,1.786,0.286,0.179,5.643,1.857,12.857,13.571,2.75,0,103.607,124.464,22.25,0.143,1.821,0.714,0.964,7,0.679,1.786,0.286,0.179,5.643,351.286,385.679,58.571,0.821,10
J002_2.gt3x,J002_2.gt3x,Sunday,2025-05-25,6,5,1,1,0,1,5,0,0,0,0,0,6,08:30:00-05:29:55,21.252,32.469,0,98.601,42.026,606.514,62.028,4.208,0.236,0,171.417,79.153,9.014,0,41.972,8.306,4.514,274.042,34.639,48.486,105.403,24.778,60.292,522.583,270.931,68.5,0,862.014,672.986,1535,0,0.939,0,0.013,9.461,30.453,97.115,,8.253,25.927,95.534,,140.357,132.424,129.068,5.418,6.742,7.244,29.188,26.685,26.391,5.419,26.909,127.895,,22.093,0.29,0,2.846,12.819,96.706,125.935,1.833,1.167,2.833,5.833,1.667,3.667,9.5,5,49.167,1.167,9.667,11.333,1.833,0,416,415.167,61,0,1.833,1.167,2.667,5.833,1.667,3.667,9.5,5,49.167,728.167,832.833,128,0,0.9,0.8,0.8,30_20_10,10_5_1,10_5_1,3.3.4,14,2025-06-02,21.251,32.045,0,98.787,41.635,589.869,53.25,4.262,0.25,0,180.976,82.583,8.607,0,39.321,7.119,3.869,273.679,29.69,47.381,92.512,22.69,59.655,524.095,260.702,63.286,0,848.083,647.631,1495.714,0,0.946,0,0.012,9.893,30.437,97.369,,8.293,25.694,95.039,,138.496,132.424,129.068,5.536,6.742,6.867,29.202,26.434,26.17,5.526,26.625,126.112,,21.17,0.301,0,3.049,12.363,88.134,118.573,1.714,1,2.429,6,1.429,3.571,8.286,4.571,48.857,1.143,9.143,10.714,1.857,0,436,435,59.286,0,1.714,1,2.286,6,1.429,3.571,8.286,4.571,48.857,737.429,836.571,121.714,0,14
J002_3.gt3x,J002_3.gt3x,Tuesday,2025-06-24,7,5,2,0,0,1,6,0,0,0,0,0,7,07:54:25-06:14:55,21.443,31.908,0,99.701,43.535,616.798,8.238,2.464,0.345,0,116.857,46.298,7.583,0.238,15.81,3.631,3.179,487.893,14.048,39.369,32.512,15.476,21.488,631.44,139.214,33.452,0.274,804.381,627.845,1432.226,0,0.982,0,0.23,3.997,28.078,99.622,,5.681,30.083,97.666,282.26,137.643,132.423,143.285,4.437,6.76,5.758,30.064,29.559,31.326,3.144,30.407,118.261,252.638,13.001,0.463,0,4.248,7.439,53.05,79.159,0.714,0.571,1.857,8.143,0.857,3.571,3,2.429,18.571,1.143,14.857,15.714,2.286,0,263.571,290.429,54,0.857,0.714,0.571,1.857,8.143,0.857,3.571,3,2.429,18.571,542,609.714,100.857,1.286,0.9,0.8,0.8,30_20_10,10_5_1,10_5_1,3.3.4,22,2025-07-02,21.443,31.908,0,99.701,43.535,616.798,8.238,2.464,0.345,0,116.857,46.298,7.583,0.238,15.81,3.631,3.179,487.893,14.048,39.369,32.512,15.476,21.488,631.44,139.214,33.452,0.274,804.381,627.845,1432.226,0,0.982,0,0.23,3.952,28.078,100.025,,5.681,30.083,97.666,282.26,132.146,132.423,141.686,4.437,6.867,5.758,30.358,29.511,31.326,3.144,30.407,118.261,253.741,13.001,0.463,0,4.248,7.439,53.05,79.159,0.714,0.571,1.857,8.143,0.857,3.571,3,2.429,18.571,1.143,14.857,15.714,2.286,0,263.571,290.429,54,0.857,0.714,0.571,1.857,8.143,0.857,3.571,3,2.429,18.571,542,609.714,100.857,1.286,22
J003_1.gt3x,J003_1.gt3x,Saturday,2025-04-05,6,4,2,0,0,1,5,0,0,0,0,0,6,09:15:00-06:44:55,19.826,30.917,0,84.167,39.55,645.097,14.375,4.722,1.181,0.042,121.611,51.25,11.597,0.639,53.5,3.417,0.667,351.625,43.569,60.875,16.347,8.111,16.375,546.667,118.25,73.903,0.764,739.583,665.417,1405,0.167,0.969,0,0.253,3.879,32.727,107.473,255.875,3.743,33.235,111.114,266.086,142.684,113.18,134.42,4.512,5.068,5.617,32.905,27.99,33.604,1.931,32.958,132.973,265.37,20.59,0.759,0,6.861,11.365,112.585,130.684,1.833,0.5,0.5,8.333,3.333,5.167,1.667,1.333,13,4.333,23.5,27.667,8.167,0.5,248.667,299.5,82.333,7.5,1.833,0.5,0.5,8.333,3.333,5.167,1.667,1.333,13,472.667,552.5,135.5,9,0.9,0.8,0.8,30_20_10,10_5_1,10_5_1,3.3.4,10,2025-04-11,19.732,30.893,0,83.907,39.653,649.72,13.967,4.735,1.211,0.045,122.134,51.223,11.702,0.655,51.509,3.661,0.679,352.259,40.64,61.405,15.562,7.952,16.655,545.387,117.458,72.417,0.774,736.036,669.679,1405.714,0.179,0.97,0,0.254,3.947,32.707,105.404,255.875,3.733,33.26,111.05,265.524,142.409,113.18,136.708,4.53,5.111,5.602,36.275,28.463,33.658,1.93,32.968,132.395,265.119,20.356,0.762,0,6.884,11.189,110.519,129.126,1.821,0.536,0.5,8.393,3.179,5.179,1.607,1.321,13.179,4.429,23.429,27.75,8.393,0.536,248.821,299.857,82.857,7.714,1.821,0.536,0.5,8.393,3.179,5.179,1.607,1.321,13.179,471.107,551.179,136.321,9.143,10
J003_2.gt3x,J003_2.gt3x,Sunday,2025-05-25,6,5,1,1,0,0,6,0,0,0,0,0,6,07:45:00-05:29:55,21.205,32.583,0,99.228,42.773,619.375,60.944,2.194,0.181,0,142.958,35.806,8.736,0.167,38.722,8.306,4.986,98.486,74.222,69.778,263.028,55.736,58.875,394.222,386.25,79.056,0.278,859.806,682.694,1542.5,0,0.945,0,0.184,0.646,34.461,86.815,,0.878,31.104,105.98,269.606,143.919,141.684,117.005,2.842,2.241,2.481,34.924,35.772,34.419,0.867,33.102,127.713,259.881,27.334,0.347,0,3.802,15.646,105.887,134.302,1.333,1.167,3.667,2.667,3.5,7.167,18.333,9.5,39,1.667,1.5,2.833,1.5,0,134.5,125.5,45.667,1.833,1.333,1.167,3.333,2.667,3.5,7.167,18.333,9.5,39,316.5,506.167,200.667,3.167,0.9,0.8,0.8,30_20_10,10_5_1,10_5_1,3.3.4,14,2025-06-02,21.203,32.143,0,99.238,42.081,601.929,52.238,2.048,0.167,0,145.31,34.69,7.667,0.143,36.726,7.119,4.417,108.012,69.702,68.643,260.071,52.06,57.631,400.845,378.262,72.845,0.238,852.19,656.381,1508.571,0,0.953,0,0.201,0.646,34.074,85.11,,0.861,31,106.038,269.606,141.595,141.684,113.262,2.684,2.236,2.5,34.36,35.088,34.106,0.86,32.818,126.236,259.881,26.053,0.352,0,3.825,15.054,97.417,127.002,1.286,1,3.286,2.714,3.286,7,17.857,8.857,38,1.714,1.286,2.571,1.429,0,132.714,120.143,40.429,1.571,1.286,1,3,2.714,3.286,7,17.857,8.857,38,312.571,487.429,185.143,2.714,14
J003_3.gt3x,J003_3.gt3x,Tuesday,2025-06-24,8,6,2,0,0,0,8,0,0,0,0,0,8,08:54:50-06:29:55,20.441,30.401,2.209,80.948,37.977,578.74,13.562,4.396,0.854,0.021,156,71.125,13.417,0.25,12.458,5.125,3.104,352.948,35.167,59.802,6.031,11.781,32.573,574.25,147.021,37.875,0.635,759.781,597.573,1357.354,0.125,0.957,0,0.283,3.051,36.269,101.7,278.55,5.338,31.146,104.324,297.364,155.276,130.622,138.493,4.177,5.797,5.548,19.368,24.198,31.127,2.451,30.98,120.349,306.372,14.312,1.012,0,5.819,8.37,56.028,88.127,0.5,0.75,1.625,8.25,1.75,4.875,0.5,2.75,24.25,4.125,20.75,23.875,6.375,0.25,370.75,418.5,88.875,2.5,0.5,0.75,1.625,8.25,1.75,4.875,0.5,2.75,24.25,620.375,708.5,136.75,4.875,0.9,0.8,0.8,30_20_10,10_5_1,10_5_1,3.3.4,19,2025-07-02,20.444,30.514,2.524,81.194,38.392,584.73,14.151,4.476,0.847,0.02,156.954,71.353,13.462,0.25,13.091,4.881,3.085,353.413,35.268,59.246,5.744,11.22,32.04,575.034,146.077,38.27,0.627,760.008,604.224,1364.232,0.119,0.957,0,0.275,3.051,36.269,101.7,278.55,5.308,31.219,104.534,295.509,149.317,130.622,138.728,4.171,5.797,5.535,19.368,24.198,31.142,2.446,31.04,121.041,303.69,14.364,0.991,0,5.775,8.354,56.1,89.068,0.524,0.714,1.619,8.286,1.738,4.81,0.476,2.619,23.833,4.19,21.405,24.429,6.357,0.238,371,419.595,88.952,2.524,0.524,0.714,1.619,8.286,1.738,4.81,0.476,2.619,23.833,619.405,707.524,136.381,4.905,19
J004_1.gt3x,J004_1.gt3x,Thursday,2025-04-10,6,4,2,0,0,4,2,0,0,0,0,0,6,07:24:15-08:14:55,23.546,31.404,0,97.128,31.896,463.75,2.444,5.083,0.167,0,182.417,64.722,11.139,0,12.361,8.153,11.083,0,24.181,16.875,460.944,79.597,91.319,290.569,614.472,57.347,0.403,962.792,471.444,1434.236,0,0.984,0,0.018,7.03,34.21,82.655,,4.123,28.168,102.54,,121.829,116.319,128.01,,5.904,5.443,29.164,28.84,28.378,4.702,29.772,110.17,246.468,27.37,0.397,0,3.274,18.467,70.485,95.968,0.5,1.5,8.333,0,1.167,1.667,34.667,16.333,65.667,1.333,5.5,7.333,1.333,0,324.167,267,56.833,0,0.5,1.5,7.667,0,1.167,1.667,34.667,16.333,65.667,749.333,964,233.167,1.333,0.9,0.8,0.8,30_20_10,10_5_1,10_5_1,3.3.4,12,2025-04-16,23.555,31.406,0,96.986,31.836,463.47,2.363,5.048,0.17,0,183.107,64.783,10.881,0,10.958,7.152,10.804,0,21.494,16.598,465.512,79.932,91.22,289.122,617.851,55.036,0.432,962.44,471.051,1433.491,0,0.984,0,0.018,7.785,34.786,84.533,,4.084,28.201,102.323,,124.598,111.252,128.421,,6.915,5.132,29.289,28.749,28.303,4.691,29.819,109.649,246.468,27.191,0.393,0,3.238,18.351,68.57,93.98,0.464,1.321,8.143,0,1.071,1.607,34.714,16.464,65.571,1.321,5.214,7.036,1.357,0,324.036,265.357,55.821,0,0.464,1.321,7.464,0,1.071,1.607,34.714,16.464,65.571,749.107,962.679,232.036,1.429,12
J004_2.gt3x,J004_2.gt3x,Thursday,2025-05-08,6,4,2,0,0,2,4,0,0,0,0,0,6,07:30:00-08:14:55,23.381,31.375,0,97.26,32.117,467.583,10.986,0.917,0.139,0,160.569,71.125,18.819,0.028,13.014,8.028,16,511.847,30.181,62.069,26.278,16.25,28.667,720.347,184.278,58.153,0.097,962.875,479.625,1442.5,0,0.978,0,0.307,4.45,35.739,89.357,,5.055,32.333,96.445,254.6,116.397,111.964,118.79,5.466,6.372,6.228,36.442,31.232,31.917,3.645,31.624,112.018,264.727,15.591,0.414,0,2.346,10.577,69.502,106.803,1.5,1.333,11,13,1.667,5.167,2.167,3.167,24.167,1.333,4.5,5.833,1.167,0,358.833,423.333,105.667,0.167,1.5,1.333,10.667,13,1.667,5.167,2.167,3.167,24.167,757.167,882,194,0.667,0.9,0.8,0.8,30_20_10,10_5_1,10_5_1,3.3.4,15,2025-05-14,23.371,31.366,0,97.517,32.165,469.003,9.714,0.854,0.14,0,158.378,70.134,18.905,0.03,13.399,7.857,16.214,516.792,29.598,61.991,27.042,16.607,28.699,722.188,184.521,58.836,0.101,965.646,479.711,1445.357,0,0.981,0,0.3,4.3,35.997,90.439,,5.076,32.349,96.51,254.6,116.704,110.89,118.734,5.477,6.401,6.251,36.085,30.805,32.044,3.643,31.697,112.056,265.143,15.662,0.403,0,2.301,10.628,70.159,107.657,1.429,1.286,11.143,13,1.643,5.143,2.214,3.25,24.143,1.357,4.036,5.429,1.143,0,353.357,418,105.179,0.179,1.429,1.286,10.786,13,1.643,5.143,2.214,3.25,24.143,752.464,878.929,194.714,0.679,15
J004_3.gt3x,J004_3.gt3x,Friday,2025-06-06,7,5,2,0,0,5,2,0,0,0,0,0,7,07:15:00-09:04:45,25.887,32.35,0,95.55,37.564,589.024,2.881,1.262,0.31,0,154.595,67.155,13.202,0,6.31,3.726,5.94,471.202,27.476,57.762,19.964,26.893,33.012,676.798,176.583,33.643,0.214,887.238,593.476,1480.714,0,0.993,0,0.036,4.158,33.02,95.575,,5.887,30.969,94.911,,131.48,113.081,110.478,4.89,7.256,7.512,33.708,33.936,33.163,3.535,31.727,108.221,242.122,12.885,0.153,0,1.793,8.2,47.117,77.061,0.429,0.571,4.143,9.286,1.143,5.714,1.857,5.286,27.571,1.571,5.714,6.714,1.429,0,348.429,391.714,83.571,0,0.429,0.571,4,9.286,1.143,5.714,1.857,5.286,27.571,687,797.571,151.571,1,0.9,0.8,0.8,30_20_10,10_5_1,10_5_1,3.3.4,17,2025-06-19,25.887,32.35,0,95.55,37.564,589.024,2.881,1.262,0.31,0,154.595,67.155,13.202,0,6.31,3.726,5.94,471.202,27.476,57.762,19.964,26.893,33.012,676.798,176.583,33.643,0.214,887.238,593.476,1480.714,0,0.993,0,0.036,4.245,33.317,95.575,,5.887,30.969,94.911,,131.48,112.903,110.478,4.89,7.188,7.57,33.636,33.936,33.163,3.535,31.727,108.221,242.122,12.885,0.153,0,1.793,8.2,47.117,77.061,0.429,0.571,4.143,9.286,1.143,5.714,1.857,5.286,27.571,1.571,5.714,6.714,1.429,0,348.429,391.714,83.571,0,0.429,0.571,4,9.286,1.143,5.714,1.857,5.286,27.571,687,797.571,151.571,1,17
